74*8T245,,,
Pin,Name,Type,Side
1,VCCA,pwr,left
2,DIR,in,left
3,A1,io,left
4,A2,io,left
5,A3,io,left
6,A4,io,left
7,A5,io,left
8,A6,io,left
9,A7,io,left
10,A8,io,left
11,GND,pwr,left
12,GND,pwr,left
13,GND,pwr,right
14,B8,io,right
15,B7,io,right
16,B6,io,right
17,B5,io,right
18,B4,io,right
19,B3,io,right
20,B2,io,right
21,B1,io,right
22,~OE,in,right
23,VCCB,pwr,right
24,VCCB,pwr,right
