LSF0108,,,
Pin,Name,Type,Side
1,GND,pwr,bottom
2,Vref_A,pwr,top
3,A1,io,left
4,A2,io,left
5,A3,io,left
6,A4,io,left
7,A5,io,left
8,A6,io,left
9,A7,io,left
10,A8,io,left
11,B8,io,right
12,B7,io,right
13,B6,io,right
14,B5,io,right
15,B4,io,right
16,B3,io,right
17,B2,io,right
18,B1,io,right
19,Vref_B,pwr,top
20,EN,in,bottom
